ISBN,Book_Title,Book_Author,summary,genre,category,theme,tone,audience
0195153448,Classical Mythology,Mark P. O. Morford,"An extensive exploration of Greek and Roman mythology, detailing gods, heroes, and mythological stories that have shaped Western culture.","['Non-fiction', 'Mythology']","['Educational', 'Cultural']","['Mythology', 'Ancient Cultures']","['Informative', 'Scholarly']","['General readers', 'Students', 'Mythology enthusiasts']"
0002005018,Clara Callan,Richard Bruce Wright,"A poignant novel set during the Great Depression, focusing on the lives of two sisters and their struggles with love, loss, and societal expectations.",['Historical Fiction'],"['Literature', 'Fiction']","['Family', 'Love', 'Resilience']","['Reflective', 'Emotional']","['Adult readers', 'Fans of historical and literary fiction']"
0060973129,Decision in Normandy,Carlo D'Este,"A detailed account of the pivotal Battle of Normandy during World War II, analyzing military strategies, decisions, and their consequences.","['History', 'Military']","['Non-fiction', 'Warfare']","['War', 'Strategy', 'Decision-Making']","['Analytical', 'Factual']","['History enthusiasts', 'Students', 'Military professionals']"
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,"An in-depth look at the 1918 influenza pandemic, exploring the virus's origins, the global response, and its impact on society.","['Non-fiction', 'Medical History']","['Educational', 'Science']","['Pandemic', 'Public Health', 'Scientific Discovery']","['Informative', 'Serious']","['Medical professionals', 'Students', 'General readers interested in history and science']"
0393045218,The Mummies of Urumchi,E. J. W. Barber,"An investigative account of the discovery and analysis of the mummies in Urumchi, revealing insights into ancient Central Asian civilizations.","['Non-fiction', 'Archaeology']","['Educational', 'Cultural']","['Ancient Civilizations', 'Archaeology']","['Documentary', 'Scholarly']","['Archaeology enthusiasts', 'Students', 'History buffs']"
0399135782,The Kitchen God's Wife,Amy Tan,"A semi-autobiographical novel about a Chinese-American woman exploring her family history, cultural identity, and personal struggles.","['Fiction', 'Cultural Fiction']","['Literature', 'Personal Narrative']","['Cultural Identity', 'Family', 'Heritage']","['Intimate', 'Reflective']","['Adult readers', 'Fans of multicultural and literary fiction']"
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,"A collection of essays imagining alternative outcomes of major historical battles, written by leading military historians.","['Non-fiction', 'Alternate History']","['Educational', 'Military History']","['Counterfactuals', 'Warfare', 'History']","['Thought-provoking', 'Speculative']","['History enthusiasts', 'Students', 'Military strategists']"
0671870432,PLEADING GUILTY,Scott Turow,"A legal thriller following a prosecutor navigating complex criminal cases, personal dilemmas, and moral questions within the justice system.","['Fiction', 'Legal Thriller']","['Literature', 'Crime']","['Justice', 'Morality', 'Law']","['Tense', 'Suspenseful']","['Adult readers', 'Fans of legal dramas and thrillers']"
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,"An in-depth exploration of pirate life, blending historical facts with romanticized tales, revealing the realities behind the legends of piracy.","['History', 'Non-fiction']",['Historical Biography'],"['Piracy', 'Adventure', 'History']","['Informative', 'Engaging']",['Adults interested in maritime history and piracy']
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,"A collection of reflective and poignant stories that delve into everyday life, relationships, and personal growth, capturing the complexities of human experience.","['Literature', 'Fiction']",['Short Stories'],"['Human Relationships', 'Reflection']","['Thoughtful', 'Intimate']","['Adult readers', 'Literary enthusiasts']"
0771074670,Nights Below Station Street,David Adams Richards,"A compelling novel set in a small town, exploring themes of community, identity, and personal struggle through vivid storytelling and rich character development.","['Literature', 'Fiction']",['Novel'],"['Community', 'Identity', 'Personal Struggle']","['Serious', 'Reflective']",['Adult readers interested in literary fiction']
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,"An investigative account revealing the hidden financial dealings of Swiss banks during the Holocaust, challenging the myth of Swiss neutrality and exposing historical truths.","['History', 'Non-fiction']",['Investigative Journalism'],"['Holocaust', 'Banking', 'Neutrality']","['Critical', 'Revealing']","['Adults interested in history, finance, and ethical issues']"
0887841740,The Middle Stories,Sheila Heti,"A collection of personal essays and stories that explore the nuances of everyday life, creativity, and the search for meaning in modern times.","['Literature', 'Fiction']","['Essays', 'Short Stories']","['Creativity', 'Life', 'Self-Discovery']","['Introspective', 'Witty']","['Adult readers', 'Literary fans']"
1552041778,Jane Doe,R. J. Kaiser,"A gripping mystery novel featuring Jane Doe, unraveling secrets and uncovering truths in a suspenseful narrative filled with twists and turns.","['Mystery', 'Fiction']",['Mystery Novel'],"['Secrets', 'Truth', 'Investigation']","['Suspenseful', 'Intriguing']",['Adult mystery and thriller enthusiasts']
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,"A collection of inspiring stories and reflections aimed at empowering women, sharing heartfelt insights and uplifting messages for personal growth.","['Self-Help', 'Inspirational']","['Collection', 'Anthology']","['Empowerment', 'Women’s Life']","['Uplifting', 'Compassionate']","['Women seeking inspiration', 'Personal development']"
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,"The Witchfinder is a gritty detective novel featuring Amos Walker, navigating the dark underbelly of society to solve complex crimes with sharp wit and determination.","['Mystery', 'Fiction']",['Detective Novel'],"['Crime', 'Justice', 'Corruption']","['Dark', 'Gritty']",['Adult readers who enjoy noir and detective stories']
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,"A comprehensive social history exploring the relationship between humans and rats, highlighting their co-evolution and impact on society.",['Non-fiction'],['History'],"['Human-animal relationships', 'Urban ecology']","['Informative', 'Analytical']","['General readers interested in history', 'Social sciences']"
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,"A heartfelt novel about love, loss, and the pursuit of happiness set against the backdrop of the American South.",['Fiction'],['Literature'],"['Love', 'Resilience']","['Emotional', 'Reflective']",['Adult fiction readers']
0440234743,The Testament,John Grisham,A legal thriller about a young attorney uncovering corruption and fighting for justice in a small Southern town.,['Thriller'],['Fiction'],"['Justice', 'Morality']","['Tense', 'Suspenseful']",['Adult readers of legal thrillers']
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,"A powerful novel depicting the legacy of slavery and its impact on a family and community, exploring themes of love and trauma.",['Fiction'],['Literature'],"['Slavery', 'Racial trauma']","['Somber', 'Poignant']",['Adult fiction readers interested in social issues']
